id,titulo,tipo,fonteTitulo,data_publicacao,volume,issue,paginas,paginasInicio,paginasFim,numeroPaginas,doi,autores,orcid_autores,departamento,origem,financiador,repositorioIPBeja,apoiosPublicacao
WOS:000259605900024,"A METADATA-DRIVEN APPROACH FOR ASPECT-ORIENTED REQUIREMENTS ANALYSIS","Proceedings Paper","ICEIS 2008: PROCEEDINGS OF THE TENTH INTERNATIONAL CONFERENCE ON ENTERPRISE INFORMATION SYSTEMS, VOL ISAS-2",2008-01-01,,,129-+,129,+,3,,"Sergio Agostinho; Ana Moreira; Andre Marques; Joao Araujo; Isabel Brito; Ricardo Ferreira; Ricardo Raminhos; Jasna Kovacevic; Rita Ribeiro; Philippe Chevalley","0000-0003-2798-1913; 0000-0001-7312-5224","Artes H Desporto",WOS,N/A,N/A,N/A
WOS:000258081600012,"Reaction of aromatic nitroso compounds with chemical models of 'thiamine active aldehyde'",Article,TETRAHEDRON,2008-08-11,64,33,7759-7770,7759,7770,12,10.1016/j.tet.2008.06.008,"Luisa M. Ferreira; M. Manuel B. Marques; Paulo M. C. Gloria; Humberto T. Chaves; Joao-Pedro P. Franco; Isabel Mourato; Jose-Rafael T. Antunes; Henry S. Rzepa; Ana M. Lobo; Sundaresan Prabhakar","0000-0003-2747-8891; 0000-0001-7312-5224","Tecnologias CAplicadas",WOS,N/A,N/A,N/A
WOS:000286751700002,"ASPECT-ORIENTED SPECIFICATION: A CASE STUDY IN SPACE DOMAIN",Article,"INTERNATIONAL JOURNAL OF SOFTWARE ENGINEERING AND KNOWLEDGE ENGINEERING",2010-09-01,20,6,783-808,783,808,26,10.1142/S0218194010004943,"Sergio Agostinho; Ana Moreira; Andre Marques; Joao Araujo; Ricardo Ferreira; Ricardo Raminhos; Rita Ribeiro; Isabel Brito; Philippe Chevalley","0000-0003-2798-1913; 0000-0001-7312-5224","Artes H Desporto",WOS,N/A,N/A,N/A
WOS:000296681800011,"Using Constraints for Intrusion Detection: The NeMODe System","Proceedings Paper","PRACTICAL ASPECTS OF DECLARATIVE LANGUAGES",2011-01-01,6539,,115-+,115,+,2,,"Pedro Salgueiro; Daniel Diaz; Isabel Brito; Salvador Abreu",0000-0001-7312-5224,"Tecnologias CAplicadas",WOS,N/A,N/A,N/A
WOS:000349558700031,"Requirements Specification for Controller Design - from Use Cases to IOPT Net Models","Proceedings Paper","2014 12TH IEEE INTERNATIONAL CONFERENCE ON INDUSTRIAL INFORMATICS (INDIN)",2014-01-01,,,207-+,207,+,2,,"Joao Paulo Barros; Isabel Sofia Brito; Luis Gomes","0000-0003-2798-1913; 0000-0001-7312-5224","Artes H Desporto",WOS,N/A,N/A,N/A
WOS:000380453900126,"Controller Design and Implementation: an Approach Based on Problem Frames and Petri Net Models","Proceedings Paper","PROCEEDINGS 2015 IEEE INTERNATIONAL CONFERENCE ON INDUSTRIAL INFORMATICS (INDIN)",2015-01-01,,,860-867,860,867,8,,"Isabel Sofia Brito; Joao Paulo Barros; Luis Gomes","0000-0001-7312-5224; 0000-0003-2798-1913","Tecnologias CAplicadas",WOS,N/A,N/A,N/A
WOS:000380489700064,"Qualitative Assessment of Access Control in a Database Management System","Proceedings Paper","2015 2ND INTERNATIONAL CONFERENCE ON INFORMATION SCIENCE AND SECURITY (ICISS)",2015-01-01,,,69-73,69,73,5,,"Isabel Sofia Brito; Luis Sobral",0000-0001-7312-5224,"Tecnologias CAplicadas",WOS,N/A,N/A,N/A
WOS:000393551200194,"From Requirements to Code (Re2Code) - A Model-Based Approach for Controller Implementation","Proceedings Paper","2016 IEEE 14TH INTERNATIONAL CONFERENCE ON INDUSTRIAL INFORMATICS (INDIN)",2016-01-01,,,1224-1230,1224,1230,7,,"Isabel Sofia Brito; Joao Paulo Barros; Luis Gomes","0000-0001-7312-5224; 0000-0003-2798-1913","Tecnologias CAplicadas",WOS,N/A,N/A,N/A
WOS:000405192300212,"Student Perspectives on the Use of a Java Library for Novices","Proceedings Paper","PROCEEDINGS OF 2017 IEEE GLOBAL ENGINEERING EDUCATION CONFERENCE (EDUCON2017)",2017-01-01,,,1405-1410,1405,1410,6,,"Joao Paulo Barros; Isabel Sofia Brito","0000-0003-2798-1913; 0000-0001-7312-5224","Artes H Desporto",WOS,N/A,N/A,N/A
WOS:000405493000030,"Modeling the Impact of UAVs in Sustainability","Proceedings Paper","2016 IEEE 24TH INTERNATIONAL REQUIREMENTS ENGINEERING CONFERENCE WORKSHOPS (REW)",2016-01-01,,,208-216,208,216,9,10.1109/REW.2016.33,"Jose M. Conejero; Isabel Sofia Brito; Ana Moreira; Jacome Cunha; Joao Araujo","0000-0001-7312-5224; 0000-0003-2798-1913","Tecnologias CAplicadas",WOS,N/A,N/A,N/A
WOS:000427159100021,"Software Requirements Analyst Profile: a descriptive study of Brazil and Mexico","Proceedings Paper","2017 IEEE 25TH INTERNATIONAL REQUIREMENTS ENGINEERING CONFERENCE (RE)",2017-01-01,,,204-212,204,212,9,10.1109/RE.2017.22,"Angelica Calazans; Roberto Paldes; Eloisa Masson; Kiane Rezende; Emeli Braosi; Nathacia Pereira; Isabel Sofia Brito",0000-0001-7312-5224,"Tecnologias CAplicadas",WOS,N/A,N/A,N/A
WOS:000427812000172,"Towards Automatic Code Generation for Distributed Cyber-Physical Systems: a First Prototype for Arduino Boards","Proceedings Paper","2017 22ND IEEE INTERNATIONAL CONFERENCE ON EMERGING TECHNOLOGIES AND FACTORY AUTOMATION (ETFA)",2017-01-01,,,,,,4,,"Artur Ataide; Joao Paulo Barros; Isabel Sofia Brito; Luis Gomes","0000-0003-2798-1913; 0000-0001-7312-5224","Artes H Desporto",WOS,N/A,N/A,N/A
WOS:000448704000137,"FOSTERING DIGITAL COMPETENCIES IN A REGIONAL CONTEXT","Proceedings Paper","12TH INTERNATIONAL TECHNOLOGY, EDUCATION AND DEVELOPMENT CONFERENCE (INTED)",2018-01-01,,,5954-5958,5954,5958,5,,"E. Rodrigues; I. S. Brito; J. P. Barros; A. J. Toucinho Silva",0000-0002-7556-4367,Engenharia,WOS,N/A,N/A,N/A
WOS:000419407600077,"Comparative study on hydrolysis and bioethanol production from cardoon and rockrose pretreated by dilute acid hydrolysis",Article,"INDUSTRIAL CROPS AND PRODUCTS",2018-01-01,111,,633-641,633,641,9,10.1016/j.indcrop.2017.11.037,"Maria C. Fernandes; Miguel D. Ferro; Ana F. C. Paulino; Humberto T. Chaves; Dmitry V. Evtuguin; Ana M. R. B. Xavier","0000-0001-7312-5224; 0000-0003-2747-8891","Tecnologias CAplicadas",WOS,N/A,N/A,N/A
WOS:000477784500023,"Wine Quality Assessment under the Eindhoven Classification Method","Proceedings Paper","PROCEEDINGS OF THE 33RD INTERNATIONAL ECMS CONFERENCE ON MODELLING AND SIMULATION (ECMS 2019)",2019-01-01,33,1,158-164,158,164,7,,"Ana Pereira; Ana Crespo; Ana Fernandes; Ines Aranha; Margarida Figueiredo; Jorge Ribeiro; Humberto Chaves; Jose Neves; Henrique Vicente",0000-0003-2747-8891,"Tecnologias CAplicadas",WOS,N/A,N/A,N/A
WOS:000545338000011,"Immediate one-step lime precipitation and atmospheric carbonation as pretreatment for low biodegradable and high nitrogen wastewaters: A case study of explosives industry",Article,"JOURNAL OF ENVIRONMENTAL CHEMICAL ENGINEERING",2020-06-01,8,3,,,,10,10.1016/j.jece.2020.103808,"Luis Madeira; Adelaide Almeida; Margarida Ribau Teixeira; Ana Prazeres; Humberto Chaves; Fatima Carvalho",0000-0003-2747-8891,"Tecnologias CAplicadas",WOS,N/A,N/A,N/A
